wallet,total_jump_capture,cluster_capped_total_jump_capture,timing_z,timing_index,number_of_jumps_captured,number_of_independent_events,max_single_event_contribution,max_single_event_share,gross_notional,avg_directional_ratio,confidence_level
0x161eb16874e34f545991e774b4e1ac5b65f86ef0,177410.87303455884,177381.47101237127,35.4423429003172,100.0,18,21,59999.16388675642,0.33824933091558274,1252498.0088734087,0.5094868933466693,very_high
0x33ab58e55895f39619815d31dfc92d90d65f9523,102720.94188929802,102720.94188929799,34.17783837319869,100.0,27,28,20508.43578110521,0.19965194442246337,613131.15580643,0.7539746752033807,very_high
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,196116.46997315314,195907.02299771033,32.894438932182986,100.0,26,29,94540.07876018323,0.4825762615018052,1811551.3734440745,0.7161486869547063,very_high
0x539d04ce381edb57d87d4cbfe9644c3ecfa70213,1548.9655025721934,1384.062338369759,29.583032038555793,100.0,39,50,263.165253788103,0.19013974045278667,50273.31994700001,0.6447553956536602,very_high
0x6049761986af66cd8e78997c940766bd69c7f14f,62772.45497160322,62772.454971603205,28.940585408983797,100.0,23,24,15126.926312967253,0.24098032042573964,418107.6759038101,0.7742036601893014,very_high
0x4b1c476d2736c40ba72b8f8c8ce3bfa6afa7bd99,195.73990294409145,309.31436840722733,26.015366696527394,100.0,1,1,309.31436840722733,1.0,53.984622780000024,26.185199072301838,low
0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,68801.83691923732,68681.75870916643,25.879239720942294,100.0,24,31,21472.491781442015,0.31263747733029795,828111.6371178636,1.648761667941264,very_high
0x0eb568f307e9a48af2c3e688ad6074236712c494,17745.585129232768,17745.585129232768,24.879838408526297,100.0,1,1,17745.585129232768,1.0,657008.3366869013,0.2736543090308683,low
0x996ac56c9e72b6ca38a30ae9f6e85152d9afe3cc,24308.67688536719,24308.67688536719,22.21481519546635,100.0,15,16,4137.042866890044,0.1701879080625886,178827.86781654696,0.6908128766938775,very_high
0xbed2ee3d98a9405b8164fb0a733b2156bcafd00b,1130.3892928169284,1130.3892928169284,20.318871144685744,100.0,1,1,1130.3892928169284,1.0,49950.0,0.17583851027669914,low
0xf56e83fe8d2a83731e20d29c2be3fb13c7792d64,62143.26119173446,62143.261191734455,20.068009778750362,100.0,19,24,16251.212299255487,0.26151206080277334,480432.310569135,0.9277019116042314,very_high
0x1050854d71bde435fb32b0cd6704e7ea7e0c43af,2439.931159690433,2439.931159690433,19.928685369449656,100.0,1,1,2439.931159690433,1.0,18382.94814280392,0.8508202403384642,low
0xe25cdab15bc7a740ce1258b31f46e26831767908,537.8659047306537,537.8659047306537,17.989077911897294,100.0,2,2,483.5011945490769,0.8989251601497199,7956.7127771908945,0.7217714321024182,low
0xb5f3b0daa4df58e8cfbff702b13700a4c45fb4ce,343.00107790018484,295.4019231330419,16.484711493925147,100.0,3,2,186.73310285583347,0.6321323195033276,4849.419996,0.8203619644677923,low
0x3cb6c036c2e2af6b3b7fc5650c76fcffe2550f8f,774.3566704919575,774.3566704919575,16.371319751629986,100.0,2,2,714.5170612322444,0.9227234534937288,3164.438745999997,0.664863028568983,low
0xd5f04124fba04a7be077d4d62ffed2ccaa9ff5da,12232.261519361255,12232.261519361255,16.16059657727373,100.0,2,2,10587.615625932596,0.8655485013277792,49602.23811000001,0.9746804957251485,low
0xc9e0641b4a171d55738f5297916a9eca28a47406,5635.406002094484,5635.406002094484,16.131933561844182,100.0,1,1,5635.406002094484,1.0,17145.688808,2.240475294129103,low
0x466a86b6bbcfdabdec732c9149c2a346236ac444,1953.6486679883542,1953.6486679883544,16.130932137271223,100.0,3,4,921.8797680918788,0.47187592282962826,3177.9652159999996,2.2799601876893103,candidate
0x5632271b4a9b20dcf260f3ecd90623d565d0ebae,33035.197764752884,33028.16563525912,16.011907051650468,100.0,5,5,11014.8734779814,0.3334994016810459,255214.97954999993,0.6848635893978144,high
0x49ebd7ba46eca5e7a7336027d7b46792bf39cf37,637.3642279556308,637.3642279556308,15.682742886496419,100.0,1,1,637.3642279556308,1.0,3760.850810000001,2.2870906131733078,low
0xba8c5fbcc5f58b0e4ae0c1413e0413f8c803e77d,17391.981947119217,17391.981947119217,15.634752732855594,100.0,10,10,5942.4519557239855,0.34167767502244245,80826.38342999999,1.0006896953546847,very_high
0xda3f7aa664b2fbb9225b52d2eb8e3beff01bc282,19944.731825794734,27107.440930663746,15.440175009426865,100.0,2,2,25866.60012793307,0.9542250850641144,172225.96791700003,1.3601506968225168,low
0xced2fb16502b6c9ddd7238ad11c3fb82f1721076,1865.5215851653925,1837.0068467029637,15.389301611205106,100.0,2,2,1135.9788524725907,0.6183857477240386,53536.648882999994,0.6426311998246999,low
0x06c0d07d5b59b25316bf1e6007aca6ad8f20bc23,10125.39751023578,10125.39751023578,15.260417017939293,100.0,6,6,4602.787520962439,0.4545784514938277,108879.35980740028,0.8214189561416273,high
0x2dc244ba95ff7cdd2bf632c1c76fbce1233c1e51,125.73547236276718,125.73547236276718,14.40147483199886,100.0,3,4,60.799333564525796,0.4835495697595177,2929.6940999999997,0.956182741725151,candidate
0xb1ca909e848cc24ec4e220ce1c453bc290c51705,11963.213158916105,11963.213158916105,14.221167398836531,100.0,1,1,11963.213158916105,1.0,111663.92754,0.9087012736061982,low
0xda1547a7c3e164f2b5a0e6693f2f32e21250f349,887.1253926236066,1025.077425066051,13.949776461219104,100.0,3,4,498.80872501392685,0.48660590197056186,14190.66999,1.3742886886701728,candidate
0xf72ae1f4f0715e8d97ff60e89699a240500cd9da,930.0636948441531,930.0636948441531,13.7381340674087,100.0,1,1,930.0636948441531,1.0,3350.205479,0.7344283748024317,low
0xd7375270e4769d3cc31885773070a5f12d5bbe95,311.46387304952003,311.46387304952003,13.305596126943277,100.0,1,1,311.46387304952003,1.0,627.33495,6.515582149894044,low
0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,2471.0421056639125,2471.0421056639125,13.196249404164803,100.0,1,1,2471.0421056639125,1.0,72680.27435564814,0.17462146849556207,low
0xfd5c9bbfd0ac1823e629add0dcd4981b86336d2a,214.45687713678066,301.3681489856887,13.1510405728579,100.0,2,3,224.65277509726445,0.7454429934064887,3908.5954599999995,0.7507851431921911,monitor
0xfe9cf3cacc27249a7573b5777070ee4006f84cb4,4608.234813104412,4608.234813104412,12.848209570388416,100.0,3,3,2402.1450241216853,0.5212722705211806,50244.50717999999,0.759385221211121,candidate
0xad7f7e2f4418fe358606164eccc0d0126aa467dc,25839.87506579138,25839.87504218129,12.801451626424287,100.0,5,6,10216.774823482267,0.3953879346089829,678444.0206783889,0.6120832119243689,high
0x890edfc09dd058e91946199b56f607ff6ae58084,288.6174110585753,288.6174110585753,12.702903039369579,100.0,1,1,288.6174110585753,1.0,817.1620000000001,5.11876596052487,low
0xac6b47dbe20be17a557e9f8062342e5c7bf59cd2,152.78843477946663,157.4948394127247,12.355042099162231,100.0,1,1,157.4948394127247,1.0,2433.734387,1.2774485868351109,low
0x3d3ca331c493bed9208e242af7589ff73ef415ed,1840.332997380027,1840.332997380027,12.19044611589528,100.0,2,2,1627.0443510634673,0.8841032320671279,3632.2092999999995,1.1157954663961294,low
0x428cea73ef2ae02b3adf196ae40362688f2a70a2,198.1794782736161,198.1794782736161,11.995623192606319,100.0,1,1,198.1794782736161,1.0,2055.239998,1.0368434509098956,low
0x13f0bcec1e2e60ec9acc3bee4d2da2fe9694a50f,17294.91118782641,17294.91118782641,11.993261650223669,100.0,9,9,7734.123720821851,0.4471907162070753,73396.36017000001,0.8212856497697141,high
0x3eae57986be5e0ca435102ffe1f14206ffa2e2ed,60.72657320879113,60.72657320879113,11.754627359229785,100.0,1,1,60.72657320879113,1.0,968.6678000000002,0.9903762139323044,low
0xd4f9ce5b2986911b33f9cea21817f1df6c62a5ca,91.37406312374162,47.09170390060639,11.662743343534308,100.0,2,1,47.09170390060639,1.0,2092.8104180000005,0.8042761892079792,low
0x7e6b15577d367a9f885f782b1c6c46556a95e3c5,13259.315042645994,20435.24030450191,11.653175888599238,100.0,0,1,20435.24030450191,1.0,3078633.7759086005,0.06449345181760761,low
0x61fefe72aebe7afc69d190bacfad8b561dc70956,6307.241567674874,6307.241567674874,11.52929708650104,100.0,3,4,3755.9071223763735,0.5954912432125167,75314.10084982435,0.6840977449514843,candidate
0x5bec79df9add70a3892041ab1a5516b60f53b215,25084.52179553419,25084.52179553419,11.48289034363994,100.0,3,4,21885.398969972088,0.8724662621979247,52861.293094999986,1.4569365385606268,monitor
0x11fcbba836d927c5fe6e6a6a64c9c0461e33dc48,6038.4652660246575,9547.009589882238,11.327504721482482,100.0,1,1,9547.009589882238,1.0,93999.999994,0.7778117423158234,low
0xb06a0eae498750ed0acac7e1f759f741c56e52f5,279.5535073451974,285.7021864531364,11.161070394448375,100.0,17,22,480.23720860822397,1.6809014119568073,6314.783964505054,1.4216732936972143,high
0xe77fb179fa99732b4b345b03542e6025ac6debd0,5243.730230037507,5243.730230037507,11.135110898999736,100.0,2,2,4111.710080795835,0.7841193006541118,26345.43819,0.8024828868896883,low
0x9f92355417d3001149a03e1cdcfecef40d482c2d,866.6107604174648,866.6107604174648,11.11452248250019,100.0,1,1,866.6107604174648,1.0,1419.2826,5.986252438845807,low
0x39fd1aed55f09d466aa7d724f423f96aadd35013,167.0977081763088,167.0977081763088,11.091532771209716,100.0,1,1,167.0977081763088,1.0,999.999997,1.4657693743649292,low
0x14f147aad3c4a759e5c9350491af61646f2c4a46,7008.19270684145,7008.192706841449,10.95565480581659,100.0,5,5,2102.796932335441,0.3000483891207323,47371.08149999999,0.8477165366668624,high
0xb77b6ef359f02192fb077227499f9f853d4870a5,6001.479322482965,6001.479322482964,10.910103235940802,100.0,9,9,1428.2408138025685,0.23798146041294185,44519.27715,0.7253998396733395,high
0x6fc44ec445d73c635ae9029cdaff52f8eb62c89d,9223.166645862408,9223.16664586241,10.837930650033453,100.0,7,7,5958.083092122535,0.6459910485077683,37256.36634000001,0.8520237866964199,candidate
0xb489de3cdb884306befec146549d299c446fde6b,4990.708251009964,4990.708251009964,10.837046982535778,100.0,2,2,2609.5018018400488,0.5228720395170298,29970.139859999996,0.8858681415282725,low
0xf584a02f29eebbf66d6a38e1336be8490ff82497,67.74261256407524,67.74261256407524,10.740200313984621,100.0,1,1,67.74261256407524,1.0,987.4463999999999,0.8167123535837983,low
0xf9f207b77137caa79c6c4516abdef3133db45cba,59.787106774931864,63.41705522579789,10.616645863580626,100.0,3,14,70.9151839097571,1.1182352075046997,2143.357674,1.703231784833869,high
